timestamp,open,high,low,close,adjusted close,volume,dividend amount
23,137.4100,139.9900,137.3300,139.2900,139.2900,42925743,0.0000
19,139.4400,140.6700,134.6700,136.6200,136.6200,139389612,0.0000
12,136.4000,139.2200,135.3701,138.9000,138.9000,102201981,0.0000
05,136.6300,137.7400,134.9700,137.0600,137.0600,69662439,0.0000
28,137.0000,138.4000,132.7300,133.9600,133.9600,124214457,0.0000
21,132.6300,137.7300,132.5300,136.9700,136.9700,133967168,0.0000
14,132.4000,134.2400,130.7100,132.4500,132.4500,102505844,0.0000
07,123.8500,132.2500,119.0100,131.4000,131.4000,147636968,0.0000
31,126.9800,128.0000,123.3200,123.6800,123.6800,89367881,0.0000
24,126.5200,128.2400,124.7400,126.2400,126.2400,92123847,0.0000
17,124.1100,130.4600,123.0400,128.0700,128.0700,139816701,0.4600
10,126.3900,128.5600,123.5700,127.1300,126.6676,146827040,0.0000
03,129.9000,130.7000,125.5200,128.9000,128.4312,119573665,0.0000
26,122.6200,131.3700,122.5700,129.8900,129.4176,132620050,0.0000
18,120.9400,123.5200,120.1000,123.3700,122.9213,77156295,0.0000
12,119.8100,120.9800,118.5800,120.9500,120.5101,83159600,0.0000
05,118.9500,120.4300,118.1000,119.8900,119.4540,99731237,0.0000
29,116.5600,118.7050,115.5215,117.9400,117.5111,119632716,0.0000
22,116.1700,120.8200,116.0500,117.0500,116.6243,160388610,0.0000
15,110.9900,117.2500,110.9800,115.9100,115.4884,173532134,0.0000
08,113.0200,113.2500,108.8000,110.5100,110.1081,111990712,0.0000
01,111.7600,113.2400,110.8800,112.5300,112.1207,119359497,0.0000
22,107.7900,111.2000,106.2900,110.9700,110.5664,96472580,0.4600
15,106.2000,108.3000,104.9650,108.2200,107.3655,110757176,0.0000
08,102.8700,107.2700,102.7700,105.6700,104.8356,130472196,0.0000
01,106.2600,106.4800,102.1700,102.7800,101.9684,201611213,0.0000
25,106.7500,107.8800,104.8600,107.1700,106.3238,112628578,0.0000
18,101.9000,107.9000,101.2600,107.7100,106.8595,155699162,0.0000
11,101.6400,104.8800,100.9800,102.8000,101.9883,157833149,0.0000
04,101.2900,102.5100,97.2000,101.9300,101.1252,155142140,0.0000
